,code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
420,EST,2017,5.7392,33821.93290847,68.717,71.0,1.0,32.806824,0.974,11.36,77.976,6.341226,0.957,15.1706,86.425,0.0,0.0,0.887,626.0,1.1848679,0.30355027,Europe,Northern Europe
421,EST,2016,5.611,32008.9343566614,68.563,70.0,0.8,33.75776,0.975,11.591,77.8201,6.483686,0.958,12.4886,86.425,0.0,0.0,0.885,626.0,1.2980722,0.31196827,Europe,Northern Europe
422,EST,2015,5.517,31038.8046287051,68.416,70.0,0.9,33.558506,0.975,11.591,77.6563,7.4185963,0.956,13.3612,86.425,0.0,0.0,0.882,626.0,1.5098568,0.3267033,Europe,Northern Europe
423,EST,2014,5.429,30494.0963031973,68.269,69.0,0.843,32.354965,0.975,11.591,77.1406,6.8718944,0.956,16.1584,88.03404,0.0,0.0,0.879,626.0,1.7285429,0.34591556,Europe,Northern Europe
424,EST,2011,5.329978,27990.136407635,67.965,70.6,0.843,31.69227,0.971,11.591,76.4681,6.887324,0.955,14.7455,86.425,0.0,0.0,0.871,626.0,2.4722683,0.32491633,Europe,Northern Europe
425,SWZ,2021,4.3961,9086.70134806066,24.369,40.5,18.3,24.674776,0.286,4.525,57.0657,19.530685,0.217,45.071,,0.7600958129807692,4.0259237,0.597,788.0,8.695,,Africa,Sub-Saharan Africa
426,SWZ,2020,4.3081,8290.40943633597,24.171,40.5,18.3,28.12715,0.362,4.5254297,59.6922,19.813807,0.333,45.071,,0.0533034176956603,0.0,0.61,788.0,8.695,,Africa,Sub-Saharan Africa
427,SWZ,2019,4.3081,8501.26632860999,23.981,40.5,18.3,25.19169,0.375,4.525,60.5492,20.35181,0.333,40.4572,,0.0,0.0,0.615,788.0,8.797404,,Africa,Sub-Saharan Africa
428,SWZ,2018,4.2116,8343.92296083981,23.799,38.0,18.3,24.217295,0.375,4.5254297,59.4114,19.801647,0.337,40.1303,,0.0,0.0,0.607,788.0,8.818927,,Africa,Sub-Saharan Africa
429,SWZ,2014,4.867,7969.20770717136,23.149,43.0,18.3,28.838114,0.31,4.525,53.0497,19.705553,0.329,54.6256,,0.0,0.0,0.559,788.0,8.468487,,Africa,Sub-Saharan Africa
430,ETH,2022,4.0906,2381.16578430493,20.244,33.8,16.5,,0.502,4.449,64.233,23.955847,0.472,10.111,94.87804,0.4093715228846154,83.36851,0.474,848.0,15.04,0.35,Africa,Sub-Saharan Africa
431,ETH,2021,4.2415,2319.1610634343,22.174,33.8,21.1,,0.487,4.449,64.9748,23.74365,0.459,10.111,94.878,0.5239522626923077,11.250133,0.498,848.0,15.04,0.35,Africa,Sub-Saharan Africa
432,ETH,2020,4.2747,2253.23578832192,21.695,33.8,19.6,,0.531,4.3491125,65.3705,23.75899,0.528,10.111,94.878,0.1486059059547169,4.1120934,0.498,848.0,15.04,0.35,Africa,Sub-Saharan Africa
433,ETH,2019,4.1862,2181.65887703263,21.225,33.8,16.4,,0.588,4.449,65.8377,23.837507,0.559,9.45,94.878,0.0,0.3610216,0.498,848.0,15.057564,0.35,Africa,Sub-Saharan Africa
434,ETH,2018,4.2858,2067.45649659251,20.763,34.0,14.1,,0.577,4.4886994,65.4117,23.413956,0.489,9.54,94.878,0.0,0.60470027,0.489,848.0,15.067099,0.35,Africa,Sub-Saharan Africa
435,ETH,2017,4.3502,1987.96875367138,20.31,35.0,14.8,,0.46,4.51,64.8383,23.881353,0.325,9.63,94.878,0.0,0.4159044,0.48,848.0,15.036681,0.35,Africa,Sub-Saharan Africa
436,ETH,2016,4.46,1864.48766816335,19.866,34.0,15.0,,0.443,4.449,64.3919,24.084824,0.337,9.78,94.878,0.0,0.54134536,0.47,848.0,14.981733,0.35,Africa,Sub-Saharan Africa
437,ETH,2015,4.508,1750.6727312872,19.428,33.0,14.5,,0.452,4.449,63.6492,23.958193,0.346,9.98,94.878,0.0,0.310329,0.46,848.0,15.039621,0.34993124,Africa,Sub-Saharan Africa
438,ETH,2014,4.512,1629.18906979629,18.998,33.0,16.5,,0.464,4.449,62.9046,23.537209,0.36,10.0169,94.878,0.0,0.026066007,0.45,848.0,15.0696945,0.35,Africa,Sub-Saharan Africa
