code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
BHR,2021,6.6469,49754.0477370429,89.622,,,,0.319,,78.7605,27.035477,0.281,,,0.5734635551346154,0.0,0.875,,,,Asia,Western Asia
BHR,2020,6.6469,47994.4142924226,89.506,,,2.922273,0.319,9.286839,79.1735,26.601576,0.278,,,0.2515176938360377,0.0,0.877,,,,Asia,Western Asia
BHR,2019,6.2273,49768.9762142136,89.394,,,3.011662,0.312,,80.0186,26.590246,0.27,7.2,,,0.0,0.882,83.0,14.672168,,Asia,Western Asia
BHR,2018,6.1994,48937.6603623739,89.287,36.0,,1.1436089,0.233,9.518841,79.8566,26.753805,0.214,7.04,,,0.0,0.879,83.0,14.7251215,,Asia,Western Asia
BHR,2017,6.1051,48929.4470119951,89.186,36.0,,0.98197675,0.22,9.6,79.689,26.359781,0.202,6.73,,,0.0,0.869,83.0,14.858465,,Asia,Western Asia
BHR,2016,6.087,48486.3027470537,89.09,43.0,,0.8499196,0.225,,79.5569,26.332296,0.219,6.48,,,0.0,0.865,83.0,15.015692,,Asia,Western Asia
BHR,2015,6.218,48453.7258486635,88.999,51.0,,1.0370021,0.215,,79.4046,26.407957,0.228,6.32,,,0.0,0.858,83.0,15.089565,,Asia,Western Asia
BHR,2014,5.96,49117.9884481019,88.915,49.0,,0.825235,0.192,,79.3278,26.282455,0.207,6.37,,,0.0,0.83,83.0,15.052187,,Asia,Western Asia
BHR,2011,5.567952,46564.7108841565,88.695,,,1.1141405,0.155,,78.8902,25.68741,0.188,6.88,,,2.1450622,0.809,83.0,15.372803,,Asia,Western Asia
BGD,2022,4.2821,6263.00463511584,,,,7.7674227,0.382,,,25.798586,0.472,,98.58334,0.1865070405192307,0.0011683173,,,,0.3176719,Asia,Southern Asia
BGD,2021,5.1555,5911.01298340558,38.946,,11.0,7.642659,0.36,,72.3811,25.84281,0.438,,,0.3960055326923077,0.0,0.661,,,,Asia,Southern Asia
BGD,2020,5.0246,5591.3737660456,38.177,,10.7,7.0021176,0.327,5.989421,71.9678,25.394598,0.404,,,0.2686347173018868,0.0017918905,0.655,,,,Asia,Southern Asia
BGD,2019,4.8328,5467.20750902916,37.405,,10.5,7.498063,0.333,,72.8057,25.76548,0.401,3.85,,,0.0,0.644,2666.0,20.328232,,Asia,Southern Asia
BGD,2018,4.4558,5124.49874345916,36.632,26.0,10.6,7.9265003,0.373,5.9978147,72.5675,25.340103,0.428,3.75,,,0.0,0.635,2666.0,20.456732,,Asia,Southern Asia
BGD,2017,4.5004,4830.77629051855,35.858,28.0,11.6,7.649592,0.394,6.5,71.7879,25.570925,0.449,3.68,,,0.02966736,0.622,2666.0,20.562298,,Asia,Southern Asia
BGD,2016,4.608,4589.09352178014,35.083,26.0,12.4,7.316912,0.41,,71.09,25.91387,0.465,3.6,,,0.045686513,0.612,2666.0,20.712677,0.32385272,Asia,Southern Asia
BGD,2015,4.643,4337.38589269384,34.308,25.0,13.3,7.094294,0.413,,70.4913,25.454306,0.471,3.64,,,0.0031679654,0.602,2666.0,20.97101,,Asia,Southern Asia
BGD,2014,4.694,4119.42463056385,33.535,25.0,,7.2086844,0.387,,69.9856,25.452011,0.475,3.73,,,0.0,0.583,2666.0,21.133997,,Asia,Southern Asia
BGD,2011,4.807098,3571.05863939925,31.225,,,7.2508764,0.434,,68.8094,25.244028,0.518,4.34,,,0.0,0.561,2666.0,21.527962,,Asia,Southern Asia
